detection_date,results
28/03/2022,2.2.2.0
28/03/2022,2.2.2.1
28/03/2022,2.2.2.2
28/03/2022,2.2.2.3
28/03/2022,2.2.2.4
28/03/2022,2.2.2.5
28/03/2022,2.2.2.6
28/03/2022,2.2.2.7
28/03/2022,2.2.2.8
28/03/2022,2.2.2.9
28/03/2022,2.2.2.10
28/03/2022,2.2.2.11
28/03/2022,2.2.2.12
28/03/2022,2.2.2.13
28/03/2022,2.2.2.14
28/03/2022,2.2.2.15
28/03/2022,2.2.2.16
28/03/2022,2.2.2.17
28/03/2022,2.2.2.18
28/03/2022,2.2.2.19
28/03/2022,2.2.2.20
28/03/2022,2.2.2.21
28/03/2022,2.2.2.22
28/03/2022,2.2.2.23
28/03/2022,2.2.2.24
28/03/2022,2.2.2.25
28/03/2022,2.2.2.26
28/03/2022,2.2.2.27
28/03/2022,2.2.2.28
28/03/2022,2.2.2.29
28/03/2022,2.2.2.30
28/03/2022,2.2.2.31
28/03/2022,2.2.2.32
28/03/2022,2.2.2.33
28/03/2022,2.2.2.34
28/03/2022,2.2.2.35
28/03/2022,2.2.2.36
28/03/2022,2.2.2.37
28/03/2022,2.2.2.38
28/03/2022,2.2.2.39
28/03/2022,2.2.2.40
28/03/2022,2.2.2.41
28/03/2022,2.2.2.42
28/03/2022,2.2.2.43
28/03/2022,2.2.2.44
28/03/2022,2.2.2.45
28/03/2022,2.2.2.46
28/03/2022,2.2.2.47
28/03/2022,2.2.2.48
28/03/2022,2.2.2.49
28/03/2022,2.2.2.50
28/03/2022,2.2.2.51
28/03/2022,2.2.2.52
28/03/2022,2.2.2.53
28/03/2022,2.2.2.54
28/03/2022,2.2.2.55
28/03/2022,2.2.2.56
28/03/2022,2.2.2.57
28/03/2022,2.2.2.58
28/03/2022,2.2.2.59
28/03/2022,2.2.2.60
28/03/2022,2.2.2.61
28/03/2022,2.2.2.62
28/03/2022,2.2.2.63
28/03/2022,2.2.2.64
28/03/2022,2.2.2.65
28/03/2022,2.2.2.66
28/03/2022,2.2.2.67
28/03/2022,2.2.2.68
28/03/2022,2.2.2.69
28/03/2022,2.2.2.70
